frame	"t, s"	id	type	Px	Py	Pt	Sx	Sy	St	Tx	Ty	Tt	mode	ctrl.img.filename
2462	4.678	50	A	957	660.5	0	963.108	656.745	90.3961	955	950	0	Tracking	default
2463	4.696	50	A	957	660.5	0	963.095	665.071	0	955	950	0	PullingDown	default
2464	4.7	50	A	955.541	690.675	0	963.095	665.071	0	955	950	0	PullingDown	default
2465	4.718	50	A	955.183	690.193	0	963.047	698.373	0	955	950	0	PullingDown	default
2466	4.734	50	A	955.183	690.193	0	963.047	698.373	0	955	950	0	Tracking	default
2467	4.75	50	A	955.03	689.314	0	963.059	690.047	90.0066	955	950	0	Tracking	default
2468	4.768	50	A	955.03	689.314	0	963.059	690.047	90.0066	955	950	0	Tracking	default
2469	4.786	50	A	968.496	684.434	0	963.059	690.047	92.9201	955	950	0	Tracking	default
2470	4.804	50	A	968.496	684.434	0	963.059	690.047	92.9311	955	950	0	Tracking	default
2471	4.822	50	A	1031.69	683.803	0	1028.71	689.938	106.236	955	950	0	Tracking	default
2472	4.84	50	A	1026.41	683.809	0	1028.71	689.938	105.159	955	950	0	Tracking	default
2473	4.858	50	A	1037.41	686.576	0	1045.13	689.911	107.48	955	950	0	Tracking	default
2474	4.876	50	A	1026.61	686.964	0	1028.71	689.938	105.272	955	950	0	Tracking	default
2475	4.894	50	A	1015.45	691.85	0	1012.3	689.965	103.144	955	950	0	Tracking	default
